text,author,scraped_at
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-07T13:57:03.584870
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-07T13:57:03.584950
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-07T13:57:03.585016
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-07T13:57:03.585074
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-07T13:57:03.585131
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-07T13:57:14.941523
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-07T13:57:14.941733
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-07T13:57:14.941917
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-07T13:57:14.942294
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-07T13:57:14.942477
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-07T13:57:26.308794
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-07T13:57:26.308867
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-07T13:57:26.308926
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-07T13:57:26.308985
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-07T13:57:26.309042
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-07T13:57:38.658678
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-07T13:57:38.658753
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-07T13:57:38.658811
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-07T13:57:38.658867
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-07T13:57:38.658923
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-07T13:57:56.014253
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-07T13:57:56.014345
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-07T13:57:56.014423
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-07T13:57:56.014498
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-07T13:57:56.014572
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,2026-06-07T13:58:11.101969
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,2026-06-07T13:58:11.102093
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,2026-06-07T13:58:11.102198
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,2026-06-07T13:58:11.102309
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,2026-06-07T13:58:11.102406
